,Name,Degree,Specialization,Experience,Location,City,Recommendation,Feedback,Fees
0,Dr. Sourabh Nagpal,BDS,Dentist,17,Vasant Vihar,Delhi,99,623,500
1,Dr. Meeka Gulati,BDS,Dentist,15,Janakpuri,Delhi,97,108,500
2,Dr. Aparna Singhal,BDS,Dentist,14,Punjabi Bagh,Delhi,98,96,300
3,Dr. Prashant Ojha,MDS,Dentist,16,Saket,Delhi,92,104,300
4,Dr. Anukriti Bansal Aggarwal,BDS,Dentist,10,Rohini Sector 18,Delhi,10,74,400
5,Dr. Ritesh,BDS,Dentist,17,Vasant Kunj,Delhi,99,111,500
6,Dr. Lt.Col. Preeti Tahlan Arora,BDS,Dentist,21,Malviya Nagar,Delhi,10,62,500
7,Dr. Neeti Sharma,BDS,Dentist,12,Katwaria Sarai,Delhi,96,63,350
8,Dr. Poonam Yadav,BDS,Dentist,9,Dwarka,Delhi,10,99,400
9,Dr. Mehak Nagpal Sharma,BDS,Dentist,11,Dwarka,Delhi,10,90,500
10,Dr. Kalpana Aggrawal,MBBS,Gynecologist/Obstetrician,19,Dwarka,Delhi,91,330,500
11,Dr. Madhu Ahuja,MBBS,Gynecologist/Obstetrician,38,Patparganj,Delhi,93,23,1100
12,Dr. Neha Khandelwal,MBBS,Gynecologist/Obstetrician,17,Greater Kailash Part 1,Delhi,99,450,1200
13,Dr. Shikha Gurnani,MBBS,Gynecologist/Obstetrician,19,Dwarka,Delhi,98,668,800
14,Dr. Bandana Sodhi,MBBS,Gynecologist/Obstetrician,31,Lajpat Nagar,Delhi,99,123,900
15,Dr. Ruchi Tandon,MBBS,Gynecologist/Obstetrician,17,Greater Kailash Part 1,Delhi,10,4,1200
16,Dr. Anuradha Dakour,MBBS,Gynecologist/Obstetrician,18,Lajpat Nagar,Delhi,97,197,500
17,Dr. Mayur Dass,MBBS,Gynecologist/Obstetrician,19,Vasundhra Enclave,Delhi,97,125,600
18,Dr. Shalini Agarwal,MBBS,Gynecologist/Obstetrician,22,Patparganj,Delhi,99,200,1100
19,Dr. Sheetal Sachdeva,MBBS,Gynecologist/Obstetrician,21,Pitampura,Delhi,98,228,800
20,Dr. Tina Goel,MBBS,Pediatrician,21,Dwarka,Delhi,97,101,600
21,Dr. Anil Sabharwal,MBBS,Pediatrician,46,Ram Vihar,Delhi,10,9,1000
22,Dr. Ajay K Tiwari,MBBS,Pediatrician,35,Vikas Puri,Delhi,10,53,700
23,Dr. V. K. Gupta,MD,Pediatrician,48,Dwarka Sector 12,Delhi,95,35,800
24,Dr. Radhika Sachdev,MBBS,Pediatrician,24,Dwarka,Delhi,98,209,600
25,Dr. Anjana Gulani,MBBS,Pediatrician,27,Vasant Kunj,Delhi,95,23,700
26,Dr. H C Bhatt,MBBS,Pediatrician,26,IP Extension,Delhi,97,113,800
27,Dr. Anibha  Pandey,MBBS,Pediatrician,13,Nehru Place,Delhi,80,4,800
28,Dr. Sunil Sareen,MBBS,Pediatrician,26,Karol Bagh,Delhi,67,2,750
29,Dr. Sarita Sharma,MBBS,Pediatrician,20,Sarvodaya Enclave,Delhi,97,16,800
30,Dr. Vimal Kumar Dakour,MBBS,Orthopedist,18,Lajpat Nagar,Delhi,96,37,500
31,Dr. Madhur Mahna,MBBS,Orthopedist,12,Rajouri Garden,Delhi,89,129,600
32,Dr. Parvinder Singh Arora,DNB,Orthopedist,16,Dwarka Sector 19,Delhi,10,1,600
33,Dr. Om Prakash Gupta,MS,Orthopedist,17,Dwarka Sector 19,Delhi,73,9,1000
34,Dr. Prof. Vipul Vijay,MBBS,Orthopedist,16,Mayur Vihar Ph-II,Delhi,99,111,800
35,Dr. Neelabh,MBBS,Orthopedist,27,Pusa Road,Delhi,10,1,1200
36,Dr. Akhilesh Rathi,MBBS,Orthopedist,16,Dwarka,Delhi,98,213,700
37,Dr. Deepak Chaudhary,MBBS,Orthopedist,39,Pusa Road,Delhi,50,5,1700
38,Dr. Praveen Tittal,MS,Orthopedist,22,Dwarka Sector 6,Delhi,96,25,700
39,Dr. Abhishek Kumar Mishra,MBBS,Orthopedist,25,Hauz Khas,Delhi,97,121,1200
41,Dr. Vijay Singhal,MBBS,Dermatologist,17,Punjabi Bagh,Delhi,93,151,800
42,Dr. Nipun Jain,MD,Dermatologist,25,Dwarka,Delhi,98,227,700
43,Dr. Deepti  Shrivastava,MBBS,Dermatologist,27,Anand Vihar,Delhi,95,307,800
44,Dr. Richa Sharma,MBBS,Dermatologist,25,Dwarka,Delhi,96,137,1500
45,Dr. Shruti Gupta,MD,Dermatologist,12,Kamla Nagar,Delhi,99,152,1000
46,Dr. Urvashi Chandra,MBBS,Dermatologist,16,Pitampura,Delhi,96,14,800
47,Dr. Manu Saxena,MBBS,Dermatologist,34,Nehru Place,Delhi,75,2,1000
48,Dr. Anuva Bansal,MBBS,Dermatologist,9,Pusa Road,Delhi,10,1,1400
49,Dr. Sandeep Gupta,MBBS,Dermatologist,18,Hari Nagar,Delhi,94,141,600
50,Dr. Mudasir Khan,MBBS,Dermatologist,28,Jasola,Delhi,94,90,800
51,Dr. Payal Pal   (Physiotherapist),MPTh/MPT,Physiotherapist,17,Dwarka,Delhi,99,181,500
52,Dr. Lochan Arora   (Physiotherapist),MPTh/MPT,Physiotherapist,13,Gujranwala Town,Delhi,96,82,400
53,Dr. Rajiv Mehta   (Physiotherapist),BPTh/BPT,Physiotherapist,23,Pitampura,Delhi,97,201,500
54,Dr. Deepti Chhabra   (Physiotherapist),BPTh/BPT,Physiotherapist,16,Janakpuri,Delhi,10,28,500
55,Dr. Deepshikha Goel   (Physiotherapist),BPTh/BPT,Physiotherapist,17,Anand Vihar,Delhi,10,26,500
56,Dr. Anisha Sekhri   (Physiotherapist),BPTh/BPT,Physiotherapist,14,Preet Vihar,Delhi,97,33,500
57,Dr. Santosh Kumar   (Physiotherapist),BPTh/BPT,Physiotherapist,13,Dwarka Sector 14,Delhi,99,76,500
58,Dr. Saakshi Dhingra   (Physiotherapist),BPTh/BPT,Physiotherapist,16,CR Park,Delhi,99,162,700
59,Dr. Deepti Jain   (Physiotherapist),BPTh/BPT,Physiotherapist,17,Munirka,Delhi,98,35,600
60,Dr. Rahul Sekhri   (Physiotherapist),BPTh/BPT,Physiotherapist,13,Preet Vihar,Delhi,97,55,500
61,Dr. Kalpana Aggrawal,MBBS,Infertility Specialist,19,Dwarka,Delhi,91,330,500
62,Dr. Neha Khandelwal,MBBS,Infertility Specialist,17,Greater Kailash Part 1,Delhi,99,450,1200
63,Dr. Bandana Sodhi,MBBS,Infertility Specialist,31,Lajpat Nagar,Delhi,99,123,900
64,Dr. Mayur Dass,MBBS,Infertility Specialist,19,Vasundhra Enclave,Delhi,97,125,600
65,Dr. Sheetal Sachdeva,MBBS,Infertility Specialist,21,Pitampura,Delhi,98,228,800
66,Dr. Jasleen Kaur Malhotra,MBBS,Infertility Specialist,23,Dwarka,Delhi,98,391,600
67,Dr. Neelam Walia,MBBS,Infertility Specialist,47,Sarita Vihar,Delhi,95,146,800
68,Dr. Yuvakshi Juneja,MBBS,Infertility Specialist,40,Safdarjung Enclave,Delhi,98,71,1000
69,Dr. Pooja Choudhary,MD,Infertility Specialist,22,Safdarjung Enclave,Delhi,96,121,900
70,Dr. Karishma Bhatia,MBBS,Infertility Specialist,11,Rohini,Delhi,97,76,500
71,Dr. Rakesh Mahajan,MBBS,Ophthalmologist,36,Pitampura,Delhi,10,1,500
72,Dr. Varun Gogia,MBBS,Ophthalmologist,15,Lajpat Nagar 4,Delhi,99,446,800
73,Dr. Lagan Paul Mutreja,MBBS,Ophthalmologist,12,Dwarka,Delhi,10,0,500
74,Dr. Shweta Jain,MBBS,Ophthalmologist,10,Paschim Vihar,Delhi,97,64,499
75,Dr. Rajat Jain,MBBS,Ophthalmologist,15,Delhi,Delhi,87,13,599
76,Dr. Robin Aggarwal,MD,Ophthalmologist,12,Panchsheel Park,Delhi,10,2,699
77,Dr. Manik Mittal,MBBS,Ophthalmologist,12,Paschim Vihar,Delhi,98,46,699
78,Dr. Saurabh Singh,MBBS,Ophthalmologist,20,Panchsheel Park,Delhi,75,3,699
79,Dr. Ankush Mutreja,MBBS,Ophthalmologist,14,Dwarka,Delhi,92,86,699
80,Dr. Pankaj Jain,MBBS,Ophthalmologist,46,Karol Bagh,Delhi,67,4,1050
81,Dr. Parag Gupta,MBBS,Urologist,24,Janakpuri,Delhi,93,286,800
82,Dr. Ashish Saini,MBBS,Urologist,19,Greater Kailash Part 1,Delhi,94,118,1100
83,Dr. Vishal Dutt Gour,MBBS,Urologist,20,Greater Kailash Part 1,Delhi,89,10,1200
84,Dr. Piyush Varshney,MBBS,Urologist,19,Vasundhra Enclave,Delhi,88,41,600
85,Dr. Arun Antony,MCh,Urologist,13,Vikas Puri,Delhi,99,186,1000
86,Dr. Harbinder Singh,DNB,Urologist,18,Rohini Sector 3,Delhi,98,66,800
87,Dr. Chandrakant Kar,MCh,Urologist,24,Dwarka,Delhi,82,51,600
88,Dr. Ankur Arya,MBBS,Urologist,12,Pusa Road,Delhi,10,1,1200
89,Dr. Kumar Saurav,MBBS,Urologist,11,Model Town 3,Delhi,10,5,600
90,Dr. Aditya Pradhan,MBBS,Urologist,27,Dwarka Sector 12,Delhi,72,19,1500
91,Dr. Manish Sarkar,MBBS,Psychiatrist,20,CR Park,Delhi,96,235,1800
92,Dr. Anuneet Sabharwal,MBBS,Psychiatrist,11,Vivek Vihar,Delhi,99,369,1000
93,Dr. Sumit Kumar Gupta,MBBS,Psychiatrist,18,Pitampura,Delhi,98,134,1200
94,Dr. Gourav Gupta,MBBS,Psychiatrist,14,Rohini Sector 8,Delhi,98,46,800
95,Dr. Paramjeet Singh,M.D,Psychiatrist,18,Karol Bagh,Delhi,10,34,1200
96,Dr. Neelesh Tiwari,MBBS,Psychiatrist,21,Janakpuri,Delhi,96,71,2000
97,Dr. Ankit Gupta,MBBS,Psychiatrist,12,CR Park,Delhi,10,24,1200
98,Dr. Manish Jain,MBBS,Psychiatrist,19,Pusa Road,Delhi,98,82,1800
99,Dr. Arvind Gautam,MBBS,Psychiatrist,16,Dwarka Sector 6,Delhi,98,33,1500
100,Dr. L C Sunda,MBBS,Psychiatrist,40,Paschim Vihar,Delhi,10,0,1800
101,Dr. Satbir Singh,MBBS,Cardiologist,23,Pusa Road,Delhi,98,99,1300
102,Dr. Akhilesh Shrivastava,MBBS,Cardiologist,39,Panchsheel Park,Delhi,10,0,1200
103,Dr. Vikas Chopra,MBBS,Cardiologist,26,Green Park,Delhi,90,17,750
104,Dr. Rajesh Madan,MBBS,Cardiologist,17,Dwarka,Delhi,88,54,700
105,Dr. Aseem Dhall,MBBS,Cardiologist,30,Vasant Kunj,Delhi,10,29,1500
106,Dr. Ajay Aggarwal,MBBS,Cardiologist,21,Ashok Vihar,Delhi,88,23,800
107,Dr. Rajeev Kumar Rajput,MBBS,Cardiologist,34,New Friends Colony,Delhi,80,13,1500
108,Dr. Nityanand Tripathi,MBBS,Cardiologist,30,Shalimar Bagh,Delhi,87,3,1200
109,Dr. Amit Mittal,MD,Cardiologist,23,Sarita Vihar,Delhi,99,71,1500
110,Dr. S K Gupta,MBBS,Cardiologist,39,Sarita Vihar,Delhi,10,6,1200
112,Dr. Anjana Kalia,BAMS,Dietitian/Nutritionist,21,Dwarka,Delhi,99,130,1000
113,Ms. Shweta,Diploma,Dietitian/Nutritionist,14,Punjabi Bagh,Delhi,99,224,1500
114,Ms. Priyanka Jaiswal,MSc,Dietitian/Nutritionist,11,Maharani Bagh,Delhi,95,116,450
115,Mr. Himanshu Rai,MSc,Dietitian/Nutritionist,15,Defence Colony,Delhi,99,139,800
116,Ms. Neha Agarwal,M.Sc,Dietitian/Nutritionist,19,Subhash Nagar,Delhi,96,115,500
117,Ms. Raminder Kaur Deshmukh,Diploma,Dietitian/Nutritionist,31,Rajouri Garden,Delhi,99,277,3500
118,Ms. Nidhi Sawhney,PGD,Dietitian/Nutritionist,5,Gulmohar Park,Delhi,99,342,1500
119,Dr. Sugeeta Mutreja,BAMS,Dietitian/Nutritionist,22,Dwarka,Delhi,99,157,1000
120,Ms. Dt Priya Mittal,Diploma,Dietitian/Nutritionist,5,Greater Kailash Part 1,Delhi,96,76,1000
121,Dr. Pankaj Kumar,MBBS,Dietitian/Nutritionist,15,Janakpuri,Delhi,96,120,650
122,Dr. Manoj Kumar,MBBS,Gastroenterologist,35,Saket,Delhi,50,32,1000
123,Dr. Deepak Lahoti,MBBS,Gastroenterologist,32,Patparganj,Delhi,68,27,1300
124,Dr. Rajneesh Gulati,MBBS,Gastroenterologist,30,Vikas Puri,Delhi,65,50,1000
125,Dr. Ashish Sachan,MBBS,Gastroenterologist,11,Dilshad Garden,Delhi,10,62,800
126,Dr. Ajay Kumar,MBBS,Gastroenterologist,35,Pusa Road,Delhi,84,11,1300
127,Dr. Vishal Garg,MBBS,Gastroenterologist,19,Sarita Vihar,Delhi,89,41,1500
128,Dr. J.C Vij,MBBS,Gastroenterologist,52,Pusa Road,Delhi,85,12,1500
129,Dr. Sanjay Khanna,MBBS,Gastroenterologist,29,Shalimar Bagh,Delhi,88,36,1200
130,Dr. Sohan Lal Broor,MBBS,Gastroenterologist,55,Sarita Vihar,Delhi,80,4,1500
131,Dr. Sawan Bopanna,DM,Gastroenterologist,13,Janakpuri,Delhi,96,13,1300
132,Dr. Ramandeep S. Dang,MBBS,Neurologist,27,Greater Kailash Part 1,Delhi,92,158,1500
133,Dr. Shailesh Jain,MBBS,Neurologist,20,Pitampura,Delhi,95,84,1200
134,Dr. P. N. Renjen,FRCP,Neurologist,47,Sarita Vihar,Delhi,94,163,2000
135,Dr. Sunilkumar Baranwal,MCh,Neurologist,17,Pitampura,Delhi,71,21,1100
136,Dr. Anand Kumar Saxena,MBBS,Neurologist,33,Dwarka Sector 19,Delhi,81,17,1400
137,Dr. (Lt Gen) CS Narayanan,MBBS,Neurologist,42,Dwarka Sector 6,Delhi,91,141,1100
138,Dr. Vinit Suri,MBBS,Neurologist,37,Sarita Vihar,Delhi,60,20,2000
139,Dr. Rajiv Anand,MBBS,Neurologist,43,Pusa Road,Delhi,71,38,2000
140,Dr. Mukul Varma,MD,Neurologist,38,Sarita Vihar,Delhi,80,5,2000
141,Dr. Anoop Kohli,MBBS,Neurologist,42,Sarita Vihar,Delhi,60,10,1500
142,Dr. Rahul Jain,MS,Neurosurgeon,18,Dwarka Sector 19,Delhi,91,12,1000
143,Dr. Ramandeep S. Dang,MBBS,Neurosurgeon,27,Greater Kailash Part 1,Delhi,92,158,1500
144,Dr. Shailesh Jain,MBBS,Neurosurgeon,20,Pitampura,Delhi,95,84,1200
145,Dr. Vikas Gupta,MBBS,Neurosurgeon,35,Anand Vihar,Delhi,96,36,700
146,Dr. Sunilkumar Baranwal,MCh,Neurosurgeon,17,Pitampura,Delhi,71,21,1100
147,Dr. Manish Garg,MBBS,Neurosurgeon,14,IP Extension,Delhi,10,6,1000
148,Dr. Amit Gupta,MCh,Neurosurgeon,20,Rohini,Delhi,10,14,1000
149,Dr. Amitabh Goel,MBBS,Neurosurgeon,32,Patparganj,Delhi,98,39,1000
150,Dr. Sanjeev Dua,MBBS,Neurosurgeon,44,Patparganj,Delhi,91,5,1000
151,Dr. Anil Kansal,MBBS,Neurosurgeon,28,Shalimar Bagh,Delhi,76,10,1500
152,Dr. Kailash Nath Gupta,MD,Pulmonologist,27,Dwarka,Delhi,94,346,800
153,Dr. Anuj Gupta,MBBS,Pulmonologist,23,Munirka,Delhi,97,187,1250
154,Dr. Pawan Gupta,MBBS,Pulmonologist,19,Prashant Vihar,Delhi,91,14,700
155,Dr. Santosh Jha,MBBS,Pulmonologist,11,Malviya Nagar,Delhi,99,169,1000
156,Dr. Raj Kumar,MD,Pulmonologist,21,Vasant Kunj,Delhi,93,28,1000
157,Dr. Rajesh K Chawla,MBBS,Pulmonologist,41,Sarita Vihar,Delhi,80,2,2000
158,Dr. Viny Kantroo,MBBS,Pulmonologist,12,Sarita Vihar,Delhi,80,4,1500
159,Dr. Deepak Rosha,MBBS,Pulmonologist,30,Sarita Vihar,Delhi,50,5,1500
160,Dr. Nikhil Modi,MBBS,Pulmonologist,12,Sarita Vihar,Delhi,83,6,1500
161,Dr. Sumedha Narula,MD,Pulmonologist,9,Dwarka Sector 12,Delhi,10,20,1000
162,Dr. Nikunj Bansal,MBBS,Bariatric Surgeon,21,Karol Bagh,Delhi,10,6,499
163,Dr. Deep Goel,MBBS,Bariatric Surgeon,31,Pusa Road,Delhi,75,2,1500
164,Dr. Ashish Pitale,MBBS,Bariatric Surgeon,31,Dwarka,Delhi,97,39,700
165,Dr. Sumeet Shah,MBBS,Bariatric Surgeon,28,Greater Kailash Part 1,Delhi,10,2,1200
166,Dr. Ashish Sachan,MBBS,Bariatric Surgeon,11,Dilshad Garden,Delhi,10,62,800
167,Dr. Saurabh Bansal,MBBS,Bariatric Surgeon,16,Green Park,Delhi,10,32,1000
168,Dr. Jotinder Khanna,MBBS,Bariatric Surgeon,25,Nehru Place,Delhi,10,27,1000
169,Dr. Shailender Kumar Jain,MBBS,Bariatric Surgeon,27,Dwarka,Delhi,83,28,500
170,Dr. Amit Agarwal,MBBS,Bariatric Surgeon,19,Pusa Road,Delhi,10,14,1800
171,Dr. Arun Prasad,MBBS,Bariatric Surgeon,38,Sarita Vihar,Delhi,10,9,1500
172,Dr. Neetan Sachdeva,DNB,Rheumatologist,24,Pitampura,Delhi,96,53,800
173,Dr. Gaurav Seth,DM,Rheumatologist,12,Janakpuri,Delhi,10,11,900
174,Dr. Sajal Ajmani,MBBS,Rheumatologist,11,Pusa Road,Delhi,98,36,1200
175,Dr. Sundeep Kumar Upadhyaya,MBBS,Rheumatologist,30,Sarita Vihar,Delhi,88,6,2500
176,Dr. Rohini Handa,MBBS,Rheumatologist,34,Sarita Vihar,Delhi,80,5,3000
177,Dr. Prasan Deep Rath,MBBS,Rheumatologist,22,Panchsheel Park,Delhi,80,6,1500
178,Dr. Himanshu Aggarwal,DNB,Rheumatologist,18,Patparganj,Delhi,95,27,1200
179,Dr. Atul Kakar,MBBS,Rheumatologist,32,Old Rajendra Nagar,Delhi,77,32,1500
180,Dr. (Col.) O P Garg,MBBS,Rheumatologist,40,Dwarka,Delhi,95,392,1000
181,Dr. Nupoor Acharya,MBBS,Rheumatologist,9,Sheikh Sarai,Delhi,10,9,1000
183,Dr. Gholam Sarwar   (Physiotherapist),BPTh/BPT,Chiropractor,14,Dwarka Sector 6,Delhi,99,318,600
184,Mr. Shiv Bajaj,Doctor,Chiropractor,13,Hazrat Nizamuddin,Delhi,92,9,3000
186,Dr. Darshan Hiralal Vora,BDS,Dentist,24,Mulund West,Mumbai,99,294,500
187,Dr. Nikhil Surana,MDS,Dentist,13,Kandivali East,Mumbai,96,27,500
188,Dr. Suhani Talesara,BDS,Dentist,13,Jogeshwari,Mumbai,10,200,500
189,Dr. Pallavi Kendrekar,BDS,Dentist,24,Borivali West,Mumbai,98,112,800
190,Dr. Kavin J. Shah,MDS,Dentist,13,JB Nagar,Mumbai,10,40,500
191,Dr. Vipin L Mahurkar,BDS,Dentist,25,Borivali West,Mumbai,98,103,800
192,Dr. Ashitesh Kumar,BDS,Dentist,11,Chembur East,Mumbai,99,126,500
193,Dr. Dipti Gandhi,BDS,Dentist,38,Ghatkopar East,Mumbai,99,40,300
194,Dr. Reshma Phulwar,BDS,Dentist,25,Chembur,Mumbai,96,336,700
